trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
6,6,size7_comp0.4_grid6_base_medium,7,0.4,medium,base,base,3,6,9,3,3,1,1,1,1,1,2,9,1.0,1.0,1.0,1.0,2,2,1,4,5,1,1,1,3,1,1,0,0.0
7,6,size7_comp0.4_grid6_base_medium,7,0.4,medium,base,base,3,6,9,3,3,1,1,1,1,1,2,9,1.0,1.0,1.0,1.0,2,2,1,4,2,2,3,1,3,1,1,0,0.0
8,6,size7_comp0.4_grid6_base_medium,7,0.4,medium,base,base,3,6,9,3,3,1,1,1,1,1,3,10,0.9,0.9,0.75,1.0,3,2,1,4,3,3,2,1,3,0,0,1,0.1
9,6,size7_comp0.4_grid6_base_medium,7,0.4,medium,base,base,3,6,9,3,3,1,1,1,1,1,3,12,0.75,0.8333333333333334,0.75,0.875,4,3,1,4,4,2,3,2,5,2,1,1,0.08333333333333333
0,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,4,9,0.7777777777777778,0.8888888888888888,0.8,1.0,4,1,0,4,4,1,2,1,1,1,0,0,0.0
1,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,3,9,0.7777777777777778,0.7777777777777778,0.75,0.8,4,1,0,4,1,3,4,0,2,0,1,2,0.2222222222222222
2,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,2,11,0.6363636363636364,0.8181818181818182,1.0,0.75,3,0,2,6,5,1,2,2,4,2,2,0,0.0
3,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,2,7,1.0,1.0,1.0,1.0,3,0,0,4,3,1,2,0,0,0,0,0,0.0
4,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,2,8,0.875,0.875,1.0,0.8,4,0,0,4,1,3,3,0,1,0,1,1,0.125
5,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,2,11,0.6363636363636364,0.8181818181818182,1.0,0.75,3,0,2,6,3,1,2,4,4,4,4,0,0.0
6,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,2,7,1.0,1.0,1.0,1.0,3,0,0,4,3,1,2,0,0,0,0,0,0.0
7,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,2,7,1.0,1.0,1.0,1.0,3,0,0,4,3,1,2,0,0,0,0,0,0.0
8,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,4,9,0.7777777777777778,0.8888888888888888,0.8,1.0,4,1,0,4,4,1,2,1,1,1,0,0,0.0
9,7,size7_comp0.4_grid7_base_medium,7,0.4,medium,base,base,3,4,7,7,0,1,1,1,1,1,4,9,0.7777777777777778,0.8888888888888888,0.8,1.0,4,1,0,4,4,1,2,1,1,1,0,0,0.0
0,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,5,18,0.6111111111111112,0.7222222222222222,0.6666666666666666,0.75,6,5,6,1,4,8,2,3,7,3,0,3,0.16666666666666666
1,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,3,15,0.7333333333333333,0.8666666666666667,1.0,0.8181818181818182,5,3,5,2,5,4,1,4,4,4,2,0,0.0
2,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,7,19,0.5789473684210527,0.7368421052631579,0.625,0.8181818181818182,7,3,6,3,6,5,2,5,7,5,2,2,0.10526315789473684
3,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,3,13,0.8461538461538461,0.9230769230769231,1.0,0.8888888888888888,4,2,5,2,5,4,1,2,2,2,0,0,0.0
4,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,3,15,0.7333333333333333,0.8,1.0,0.7272727272727273,5,3,5,2,5,5,2,2,3,1,2,2,0.13333333333333333
5,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,8,17,0.6470588235294118,0.7647058823529411,0.6666666666666666,0.875,4,2,7,4,3,6,2,5,6,4,0,2,0.11764705882352941
6,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,5,14,0.7857142857142857,0.8571428571428571,0.8333333333333334,0.875,5,2,5,2,6,4,1,2,3,2,0,1,0.07142857142857142
7,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,3,12,0.9166666666666666,0.9166666666666666,1.0,0.875,5,2,4,1,3,5,3,0,1,0,0,1,0.08333333333333333
8,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,5,13,0.8461538461538461,0.9230769230769231,0.8333333333333334,1.0,4,2,5,2,7,3,1,1,1,1,0,0,0.0
9,8,size7_comp0.4_grid8_base_medium,7,0.4,medium,base,base,4,7,11,5,4,1,1,1,1,1,5,13,0.8461538461538461,0.8461538461538461,0.6666666666666666,1.0,5,2,5,1,4,5,3,0,2,0,0,2,0.15384615384615385
0,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,6,12,1.0,1.0,1.0,1.0,4,2,2,4,7,1,3,0,0,0,0,0,0.0
1,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,12,19,0.631578947368421,0.6842105263157895,0.6153846153846154,0.8333333333333334,5,3,6,5,7,3,7,1,7,1,0,5,0.2631578947368421
2,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,6,12,1.0,1.0,1.0,1.0,4,2,2,4,8,0,3,0,0,0,0,0,0.0
3,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,7,13,0.9230769230769231,0.9230769230769231,0.875,1.0,4,2,3,4,6,2,4,0,1,0,0,1,0.07692307692307693
4,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,6,12,1.0,1.0,1.0,1.0,4,2,2,4,7,1,3,0,0,0,0,0,0.0
5,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,6,15,0.8,0.8666666666666667,1.0,0.75,4,3,3,5,6,2,4,2,3,2,3,1,0.06666666666666667
6,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,9,16,0.75,0.8125,0.8,0.8333333333333334,5,4,3,4,6,2,6,1,3,1,1,2,0.125
7,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,6,12,1.0,1.0,1.0,1.0,4,2,2,4,7,1,3,0,0,0,0,0,0.0
8,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,9,16,0.75,0.8125,0.8,0.8333333333333334,5,2,3,6,7,3,5,0,3,0,0,2,0.125
9,9,size7_comp0.4_grid9_base_medium,7,0.4,medium,base,base,7,5,12,4,5,1,1,1,1,1,6,12,1.0,1.0,1.0,1.0,4,2,2,4,7,1,3,0,0,0,0,0,0.0
0,0,size7_comp0.6_grid0_base_medium,7,0.6,medium,base,base,3,6,9,3,3,1,1,1,1,1,2,9,1.0,1.0,1.0,1.0,2,4,2,1,4,1,2,1,3,1,1,0,0.0
1,0,size7_comp0.6_grid0_base_medium,7,0.6,medium,base,base,3,6,9,3,3,1,1,1,1,1,2,9,1.0,1.0,1.0,1.0,2,4,2,1,4,1,2,1,3,1,1,0,0.0
2,0,size7_comp0.6_grid0_base_medium,7,0.6,medium,base,base,3,6,9,3,3,1,1,1,1,1,2,9,1.0,1.0,1.0,1.0,2,4,2,1,4,1,2,1,3,1,1,0,0.0
3,0,size7_comp0.6_grid0_base_medium,7,0.6,medium,base,base,3,6,9,3,3,1,1,1,1,1,4,11,0.8181818181818182,0.9090909090909091,0.8,1.0,2,4,3,2,4,2,2,2,4,2,1,0,0.0
4,0,size7_comp0.6_grid0_base_medium,7,0.6,medium,base,base,3,6,9,3,3,1,1,1,1,1,2,9,1.0,1.0,1.0,1.0,2,4,2,1,4,1,2,1,3,1,1,0,0.0
5,0,size7_comp0.6_grid0_base_medium,7,0.6,medium,base,base,3,6,9,3,3,1,1,1,1,1,4,11,0.8181818181818182,0.9090909090909091,0.8,1.0,3,5,2,1,4,1,2,3,5,3,1,0,0.0
6,0,size7_comp0.6_grid0_base_medium,7,0.6,medium,base,base,3,6,9,3,3,1,1,1,1,1,2,14,0.6428571428571429,0.7857142857142857,1.0,0.7272727272727273,3,4,4,3,5,3,4,1,6,1,2,1,0.07142857142857142
