collect_mode,grid_size,density,reasoning_effort,n_grids,mean_success_rate,se_success_rate,mean_coins_collected,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,mean_spl,se_spl,mean_entropy,mean_jsd,mean_ece,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_one,7,0.2,low,10,0.97,0.015275252316519463,1.9100000000000001,0.6249787228391278,0.024694814200365876,0.7439455673294082,0.5839900264358928,0.0,0.3860582549762456,0.03140492769134454,1.1416031491478342,0.347671998565656,0.20727140137067615,5.33,6.7299999999999995,4.779999999999999,5.33,6.609999999999999,5.0600000000000005,4.96,4.35,10.32,4.0200000000000005,2.31,3.08
collect_one,7,0.2,medium,10,0.99,0.01,2.0,0.7349147150940982,0.01788773002875665,0.9017498240862365,0.6701488617152758,0.0,0.5221175339146129,0.03823247965675611,0.7542194715962647,0.3157273412162195,0.1392437046815609,4.13,3.4199999999999995,3.72,3.85,5.62,3.31,3.22,1.97,3.71,1.94,1.46,0.74
collect_one,7,0.4,low,10,0.82,0.0592546294487706,1.67,0.5605822190583981,0.023306375559508742,0.6351544080245269,0.5390657748217201,0.0,0.32430464399392894,0.05105039302288539,1.1323203111480735,0.35716780890532995,0.21038407719769267,7.87,7.81,6.590000000000001,5.41,8.43,5.970000000000001,5.99,6.17,16.14,5.46,3.3600000000000003,5.29
collect_one,7,0.4,medium,10,0.9800000000000001,0.013333333333333338,1.98,0.6968279676007679,0.013302640260937394,0.8898590431142486,0.6288513661476918,0.0,0.44026404622620463,0.027802889989971054,0.9362495656296611,0.2448350374932294,0.18285975849560815,3.8899999999999997,5.07,4.12,4.5,5.85,3.66,4.08,2.98,6.5200000000000005,2.86,2.17,0.76
collect_one,9,0.0,low,10,0.73,0.08569973421454961,1.89,0.5690013785443195,0.028311622286332515,0.7552547086833048,0.5263457781404473,0.0,0.24681125681997096,0.05034378918244834,1.1285891393151877,0.4007798861169066,0.17705390940342278,13.37,11.3,7.81,8.690000000000001,13.280000000000001,8.97,8.190000000000001,8.71,23.49,8.01,3.04,4.21
collect_one,9,0.0,medium,10,1.0,0.0,1.9899999999999998,0.711768526762015,0.019426726759464955,0.9233051705731725,0.639430608550004,0.0,0.45023748306008926,0.03763778292859842,0.8668664243085651,0.32772572455345744,0.16248594605501238,5.24,7.12,5.21,4.92,8.77,5.35,4.93,2.44,5.4799999999999995,2.38,1.17,0.43
collect_one,9,0.2,low,10,0.6599999999999999,0.10873004286866728,1.75,0.522415269164416,0.018792631299483616,0.6292512549279955,0.49089883972333304,0.0,0.2292771326228177,0.052029137412683536,1.1554391948058786,0.4018549788559083,0.19232911717892667,14.830000000000002,12.760000000000002,8.16,10.09,12.89,10.03,10.02,11.47,28.95,10.23,3.16,6.81
collect_one,9,0.2,medium,10,0.99,0.01,1.95,0.6794091262970785,0.020013602902767106,0.8515204139990024,0.6150806491155836,0.0,0.4124741624825197,0.03460140742583829,0.8758509017902147,0.31438228381945466,0.14502218986337564,5.748888888888889,5.457777777777778,4.954444444444444,4.961111111111111,7.823333333333333,4.513333333333334,4.812222222222222,2.602222222222222,6.2988888888888885,2.5411111111111113,1.4877777777777779,0.9688888888888888
collect_one,9,0.4,low,10,0.5566666666666666,0.10411887792682335,1.6288888888888888,0.46090881013634,0.014292874547426825,0.517293433538916,0.4590703743746321,0.0,0.12440971454423219,0.0222133149221559,1.153943523041415,0.39809687005891203,0.1503221099089138,14.811111111111112,13.40888888888889,11.413333333333334,14.351111111111113,15.7,11.814444444444444,12.181111111111111,12.976666666666665,37.05777777777778,11.043333333333333,4.845555555555555,11.422222222222222
collect_one,9,0.4,medium,10,0.9875,0.012500000000000002,1.975,0.6548883268524948,0.020345291696312634,0.8433425958848861,0.6045877770886419,0.0,0.3904943499492727,0.03526532586827252,0.8626405181181726,0.3244547641367689,0.1550255125874257,5.995436507936509,7.482738095238095,5.440873015873016,5.645436507936508,9.739682539682539,4.8579365079365076,4.670634920634921,3.6730158730158733,9.682142857142857,3.449404761904762,2.276388888888889,1.5819444444444444
collect_one,11,0.0,low,10,0.32,0.09521904571390466,1.1099999999999999,0.4884434481460345,0.03385448319519604,0.5602326162990467,0.4747168448665631,0.0,0.10273698243067804,0.0317524641689889,1.007410557648954,0.4685153917619661,0.15753329804569235,15.179999999999998,12.73,11.48,11.5,16.21,10.51,11.28,11.75,30.169999999999998,10.59,1.47,8.53
