trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
9,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,15,6,1,25,0.32,0.64,0.7142857142857143,0.6111111111111112,0.0,7,7,2,9,8,4,7,5,7,4,1,1,0.04
0,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,1,2,1,1,30,15,1,44,0.3409090909090909,0.6590909090909091,0.6875,0.6428571428571429,0.0,12,8,11,12,15,9,11,6,14,6,1,0,0.0
1,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,1,2,1,1,22,9,1,41,0.36585365853658536,0.5853658536585366,0.8,0.5161290322580645,0.0,16,8,8,9,14,12,11,3,14,3,3,8,0.1951219512195122
2,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,1,2,1,1,26,9,1,39,0.38461538461538464,0.6666666666666666,0.7,0.6551724137931034,0.0,13,11,7,8,15,9,5,9,11,9,2,2,0.05128205128205128
3,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,0,1,1,0,10,-1,0,64,0.0,0.578125,0.9090909090909091,0.5094339622641509,0.0,25,19,6,14,17,10,15,21,32,18,1,3,0.046875
4,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,1,2,1,1,22,7,1,38,0.39473684210526316,0.6578947368421053,0.875,0.6,0.0,14,7,8,9,14,9,9,5,11,5,3,3,0.07894736842105263
5,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,0,1,1,0,12,-1,0,64,0.0,0.578125,0.8461538461538461,0.5098039215686274,0.0,20,14,11,19,15,13,19,16,31,13,0,5,0.078125
6,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,1,2,1,1,23,6,1,38,0.39473684210526316,0.631578947368421,0.8571428571428571,0.5806451612903226,0.0,13,9,8,8,18,11,4,4,10,3,1,5,0.13157894736842105
7,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,0,1,1,0,21,-1,0,64,0.0,0.59375,0.6818181818181818,0.5476190476190477,0.0,21,16,10,17,11,21,19,12,27,11,1,3,0.046875
8,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,1,2,1,1,16,9,1,38,0.39473684210526316,0.6052631578947368,0.8,0.5357142857142857,0.0,15,4,9,10,14,11,11,1,10,1,0,7,0.18421052631578946
9,3,collect_one_size11_comp0.0_grid3_base_low,11,0.0,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,1,2,1,1,17,7,1,37,0.40540540540540543,0.5945945945945946,0.875,0.5172413793103449,0.0,17,7,6,7,16,9,8,3,10,2,0,8,0.21621621621621623
0,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.265625,0.265625,0.0,0.0,35,6,10,13,21,16,15,11,53,8,0,28,0.4375
1,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.375,0.375,0.0,0.0,23,5,18,18,14,16,16,17,50,16,0,16,0.25
2,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,2,1,1,42,48,0,64,0.0,0.546875,0.4883720930232558,0.6666666666666666,0.0,16,17,15,16,14,9,19,21,41,21,1,5,0.078125
3,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,1,2,1,1,13,5,1,29,0.2413793103448276,0.6206896551724138,0.8333333333333334,0.5652173913043478,0.0,5,11,7,6,11,8,6,3,9,3,1,0,0.0
4,4,collect_one_size11_comp0.0_grid4_base_low,11,0.0,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,0,0,0,0,-1,-1,0,64,0.0,0.34375,0.34375,0.0,0.0,29,7,14,14,19,12,15,17,53,13,0,20,0.3125
