trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
9,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,10,3,1,25,0.72,0.84,1.0,0.8571428571428571,0.7857142857142857,6,8,7,4,11,7,4,2,4,2,0,1,0.04
0,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,8,28,1,35,0.5428571428571428,0.7714285714285715,0.7777777777777778,0.75,0.8333333333333334,6,12,11,6,13,9,6,6,10,6,1,0,0.0
1,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,8,26,1,34,0.5588235294117647,0.7647058823529411,0.7777777777777778,0.7777777777777778,0.7142857142857143,6,12,11,5,9,5,11,8,14,8,6,1,0.029411764705882353
2,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,4,14,1,19,1.0,1.0,1.0,1.0,1.0,2,8,7,2,10,3,5,0,0,0,0,0,0.0
3,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,8,25,1,32,0.59375,0.78125,0.7777777777777778,0.7647058823529411,0.8333333333333334,6,12,9,4,14,3,5,7,11,7,1,0,0.0
4,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,5,17,1,22,0.8636363636363636,0.9090909090909091,0.8333333333333334,0.9166666666666666,1.0,4,9,7,2,10,4,4,3,5,3,1,1,0.045454545454545456
5,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,4,24,1,29,0.6551724137931034,0.8275862068965517,1.0,0.75,1.0,5,11,9,4,17,4,4,3,8,3,1,0,0.0
6,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,4,16,1,22,0.8636363636363636,0.9090909090909091,1.0,0.9166666666666666,0.8,2,8,9,3,8,6,6,1,3,1,1,1,0.045454545454545456
7,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,4,20,1,25,0.76,0.88,1.0,0.8125,1.0,3,9,9,4,11,5,5,3,5,3,1,0,0.0
8,4,collect_all_size11_comp0.0_grid4_base_medium,11,0.0,medium,base,base,collect_all,5,15,10,10,6,4,19,1,1,1,1,1,1,2,1,1,7,17,1,25,0.76,0.84,0.75,1.0,0.7142857142857143,4,9,9,3,9,4,8,3,5,2,3,2,0.08
