lambda,gamma,alpha,mean_manhattan_dist
0.05,6,2.5,2.8048780487804876
0.1,1,1.5,2.8048780487804876
0.1,10,1.84,2.8048780487804876
0.2,8,1.0,2.8048780487804876
0.3,6,1.0,2.8048780487804876
0.4,2,1.5,2.8048780487804876
0.05,10,1.84,2.817073170731707
0.1,8,1.5,2.817073170731707
0.15,6,1.84,2.817073170731707
0.15,8,1.0,2.817073170731707
0.2,1,1.84,2.817073170731707
0.2,10,1.0,2.817073170731707
0.05,8,3.5,2.8292682926829267
0.1,10,1.5,2.8292682926829267
0.15,6,1.5,2.8292682926829267
0.15,8,1.5,2.8292682926829267
0.15,10,1.0,2.8292682926829267
0.2,6,1.0,2.8292682926829267
0.3,4,1.0,2.8292682926829267
0.4,1,1.0,2.8292682926829267
0.5,1,1.0,2.8292682926829267
0.05,10,3.5,2.841463414634146
0.1,8,1.84,2.841463414634146
0.15,1,1.5,2.841463414634146
0.2,1,1.0,2.841463414634146
0.2,1,2.5,2.841463414634146
0.4,2,1.0,2.841463414634146
0.05,8,1.84,2.8536585365853657
0.2,1,1.5,2.8536585365853657
0.2,2,1.5,2.8536585365853657
0.1,1,1.0,2.8780487804878048
0.1,2,2.5,2.8780487804878048
0.15,1,1.84,2.8780487804878048
0.15,1,3.5,2.8780487804878048
0.2,1,3.5,2.8780487804878048
0.05,4,2.5,2.8902439024390243
0.05,4,3.5,2.8902439024390243
0.1,1,1.84,2.8902439024390243
0.2,4,1.0,2.8902439024390243
0.05,4,1.0,2.902439024390244
0.05,6,1.84,2.902439024390244
0.1,8,1.0,2.902439024390244
0.1,10,1.0,2.902439024390244
0.15,1,2.5,2.902439024390244
0.15,4,1.5,2.902439024390244
0.3,1,1.0,2.902439024390244
0.0,2,2.5,2.9146341463414633
0.0,2,3.5,2.9146341463414633
0.05,6,1.0,2.9146341463414633
0.1,1,2.5,2.9146341463414633
0.3,2,1.0,2.9146341463414633
0.0,1,1.84,2.926829268292683
0.0,2,1.84,2.926829268292683
0.15,6,1.0,2.926829268292683
0.0,1,2.5,2.9390243902439024
0.0,1,3.5,2.9390243902439024
0.05,2,3.5,2.9390243902439024
0.1,2,1.84,2.9390243902439024
0.0,4,2.5,2.951219512195122
0.0,4,3.5,2.951219512195122
0.0,6,3.5,2.951219512195122
0.0,8,3.5,2.951219512195122
0.0,10,3.5,2.951219512195122
0.05,1,1.5,2.951219512195122
0.1,1,3.5,2.951219512195122
0.1,2,1.5,2.951219512195122
0.1,2,3.5,2.951219512195122
0.15,1,1.0,2.951219512195122
0.0,6,2.5,2.9634146341463414
0.0,8,2.5,2.9634146341463414
0.0,10,2.5,2.9634146341463414
0.05,1,1.0,2.9634146341463414
0.1,2,1.0,2.9634146341463414
0.15,2,1.5,2.9634146341463414
0.0,1,1.5,2.975609756097561
0.0,2,1.5,2.975609756097561
0.1,6,1.0,2.975609756097561
0.1,6,1.5,2.975609756097561
0.15,4,1.0,2.975609756097561
0.2,2,1.0,2.975609756097561
0.05,2,1.0,2.9878048780487805
0.0,6,1.5,3.0
0.0,8,1.5,3.0
0.0,10,1.5,3.0
0.05,8,1.0,3.0
0.1,4,1.0,3.0
0.0,1,1.0,3.0121951219512195
0.0,2,1.0,3.0121951219512195
0.0,4,1.0,3.0121951219512195
0.0,4,1.84,3.0121951219512195
0.05,1,2.5,3.0121951219512195
0.05,2,2.5,3.0121951219512195
0.05,10,1.0,3.0121951219512195
0.15,2,1.0,3.0121951219512195
0.0,4,1.5,3.024390243902439
0.0,6,1.0,3.024390243902439
0.0,6,1.84,3.024390243902439
0.0,8,1.0,3.024390243902439
0.0,8,1.84,3.024390243902439
0.0,10,1.0,3.024390243902439
0.0,10,1.84,3.024390243902439
0.05,1,3.5,3.024390243902439
0.05,2,1.5,3.0365853658536586
0.05,6,1.5,3.0365853658536586
0.05,10,1.5,3.0365853658536586
0.05,8,1.5,3.048780487804878
0.05,1,1.84,3.0609756097560976
0.1,4,1.5,3.0609756097560976
0.05,4,1.84,3.073170731707317
0.05,2,1.84,3.1097560975609757
0.05,4,1.5,3.1219512195121952
