trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
7,1,size11_comp0.4_grid1_base_low,11,0.4,low,base,base,3,6,9,3,3,1,1,1,1,0,-1,43,0.0,0.3488372093023256,0.3488372093023256,0.0,12,5,10,16,10,12,11,9,34,6,0,10,0.23255813953488372,DL,0.9949848281859701,11,0,13,0,19,0.4583333333333333,0.0,0.5416666666666666,0.0,0.4418604651162791,,0.0,0.0,0.0,0.0,0,dl,ul,dl,1,1,0,0,0
8,1,size11_comp0.4_grid1_base_low,11,0.4,low,base,base,3,6,9,3,3,1,1,1,0,0,-1,64,0.0,0.359375,0.359375,0.0,16,8,19,20,16,15,12,18,49,16,0,12,0.1875,DL,0.8188011058474717,10,0,43,1,10,0.18518518518518517,0.0,0.7962962962962963,0.018518518518518517,0.15625,UL,0.015625,0.0,0.0,0.0,1,dl,ul,dl,1,1,0,0,0
9,1,size11_comp0.4_grid1_base_low,11,0.4,low,base,base,3,6,9,3,3,1,1,1,0,0,-1,64,0.0,0.390625,0.390625,0.0,22,13,12,17,14,13,14,22,49,20,0,13,0.203125,DL,0.676941869780886,10,0,46,0,8,0.17857142857142858,0.0,0.8214285714285714,0.0,0.125,DL,0.0,0.0,0.09375,0.0,5,dl,ul,dl,1,1,0,0,0
0,2,size11_comp0.4_grid2_base_low,11,0.4,low,base,base,5,4,9,5,2,1,1,1,1,1,13,25,0.36,0.64,0.6428571428571429,0.6363636363636364,5,5,5,10,10,5,5,4,10,4,3,2,0.08,UL,1.0,9,0,9,0,7,0.5,0.0,0.5,0.0,0.28,,0.0,0.0,0.0,0.0,0,ul,midline,dl,1,0,0,0,0
1,2,size11_comp0.4_grid2_base_low,11,0.4,low,base,base,5,4,9,5,2,1,1,1,1,1,16,21,0.42857142857142855,0.6666666666666666,0.5882352941176471,1.0,3,5,4,9,5,6,4,5,12,5,1,2,0.09523809523809523,DL,0.8453509366224364,3,0,8,0,10,0.2727272727272727,0.0,0.7272727272727273,0.0,0.47619047619047616,,0.0,0.0,0.0,0.0,0,ul,midline,dl,0,1,0,0,0
2,2,size11_comp0.4_grid2_base_low,11,0.4,low,base,base,5,4,9,5,2,1,1,1,1,1,7,14,0.6428571428571429,0.7857142857142857,0.75,0.8333333333333334,2,3,2,7,2,4,4,3,4,3,0,1,0.07142857142857142,DL,0.9864267287308425,1,0,7,1,5,0.1111111111111111,0.0,0.7777777777777778,0.1111111111111111,0.35714285714285715,,0.0,0.0,0.0,0.0,0,ul,midline,dl,0,1,0,0,0
3,2,size11_comp0.4_grid2_base_low,11,0.4,low,base,base,5,4,9,5,2,1,1,1,0,1,15,64,0.0,0.34375,0.5,0.2916666666666667,15,11,15,22,20,13,17,11,45,7,1,25,0.390625,UR,1.5231634434001347,16,28,15,0,5,0.2711864406779661,0.4745762711864407,0.2542372881355932,0.0,0.078125,UR,0.0,0.015625,0.0,0.0,1,ul,midline,dl,0,0,0,0,0
4,2,size11_comp0.4_grid2_base_low,11,0.4,low,base,base,5,4,9,5,2,1,1,1,1,0,-1,10,0.0,0.4,0.4,0.0,1,1,2,6,2,1,3,3,5,2,0,3,0.3,UL,-0.0,2,0,0,0,8,1.0,0.0,0.0,0.0,0.8,,0.0,0.0,0.0,0.0,0,ul,midline,dl,1,0,0,0,0
5,2,size11_comp0.4_grid2_base_low,11,0.4,low,base,base,5,4,9,5,2,1,1,1,1,0,-1,9,0.0,0.4444444444444444,0.4444444444444444,0.0,1,2,0,6,3,3,1,1,3,1,0,2,0.2222222222222222,UL,-0.0,4,0,0,0,5,1.0,0.0,0.0,0.0,0.5555555555555556,,0.0,0.0,0.0,0.0,0,ul,midline,dl,1,0,0,0,0
6,2,size11_comp0.4_grid2_base_low,11,0.4,low,base,base,5,4,9,5,2,1,1,1,1,0,-1,51,0.0,0.39215686274509803,0.39215686274509803,0.0,12,10,14,15,16,7,16,11,26,9,0,12,0.23529411764705882,UR,1.167267423822269,11,23,0,2,15,0.3055555555555556,0.6388888888888888,0.0,0.05555555555555555,0.29411764705882354,UL,0.0784313725490196,0.058823529411764705,0.0,0.0,4,ul,midline,dl,0,0,0,0,0
