grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size7_comp0.2_grid6_base_random,7,0.2,6,random,base,base,4,7,11,3,4,1,1,1,10,5,0,3,0.5,0.0,0.3,0.0,26.8,0.2947761194029851,0.29245283018867924,0.30357142857142855,0.0,1.4455846044536886,0.5294117647058824,0.5511949808358867,1.308035185739281,0.5281281306832061,1.2693593356780652,0.6758022729079409,0.147377747118748,0.2947761194029851,268,7.5,6.9,4.8,7.6,6.6,6.6,7.0,5.6,19.3,2.7,1.5,12.3
size7_comp0.2_grid7_base_random,7,0.2,7,random,base,base,4,3,7,3,2,1,1,1,10,4,1,1,0.4,0.1,0.1,0.1,28.6,0.3951048951048951,0.3837638376383764,0.6,0.041176470588235294,1.5803876718414274,0.6428571428571429,0.43559400470559784,1.6815769143998454,0.5300151703445883,0.6267778045385997,0.2753337938215816,0.07801603158746015,0.3951048951048951,286,5.1,6.8,8.6,8.1,6.0,7.8,7.1,6.7,20.3,5.0,0.7,8.3
size7_comp0.2_grid8_base_random,7,0.2,8,random,base,base,5,6,11,5,4,1,1,1,10,4,0,1,0.4,0.0,0.1,0.0,29.7,0.3602693602693603,0.34765625,0.43902439024390244,0.0,1.5496966161239256,0.5,0.49608936566095985,1.3375841358377012,0.48011294970984086,1.1593490190767854,0.570417534029418,0.3204249294766537,0.3602693602693603,297,7.9,7.0,5.6,9.2,7.2,6.9,7.6,7.0,20.5,3.9,0.9,11.3
size7_comp0.2_grid9_base_random,7,0.2,9,random,base,base,4,5,9,3,3,1,1,1,10,1,0,7,0.1,0.0,0.7,0.0,18.4,0.375,0.38461538461538464,0.26666666666666666,0.0,1.4189983398032042,0.5,0.5290359661726863,1.2763888728226669,0.453248574159509,1.2850372859326016,0.6605061957546091,0.2729978469067653,0.375,184,4.6,4.5,4.7,4.6,4.7,3.8,3.8,5.1,11.6,3.9,0.2,4.6
size7_comp0.4_grid0_base_random,7,0.4,0,random,base,base,4,3,7,7,0,1,1,1,10,1,1,1,0.1,0.1,0.1,0.1,30.3,0.3102310231023102,0.30303030303030304,0.6666666666666666,0.02258064516129032,1.4470720510133372,0.3333333333333333,0.4640243671084143,1.490410945371114,0.5914459977204292,0.5283208335737187,0.2568086804954592,0.17747974973465172,0.3102310231023102,303,8.5,7.2,7.2,7.4,6.9,7.5,6.4,8.5,23.4,4.8,0.3,12.7
size7_comp0.4_grid1_base_random,7,0.4,1,random,base,base,3,4,7,3,2,1,1,1,10,5,2,2,0.5,0.2,0.2,0.2,26.7,0.37453183520599254,0.39285714285714285,0.3434343434343434,0.052500000000000005,1.7691516863255476,0.35,0.4631615335995451,1.6260654607049436,0.4692029712298822,1.1212426146200314,0.4456986814681497,0.1591818433265802,0.37453183520599254,267,6.4,6.6,7.0,6.7,6.9,6.8,6.4,5.6,17.3,3.8,2.4,8.5
size7_comp0.4_grid2_base_random,7,0.4,2,random,base,base,4,5,9,5,4,1,1,1,10,5,0,2,0.5,0.0,0.2,0.0,27.2,0.3272058823529412,0.33152173913043476,0.3181818181818182,0.0,1.6231230725076513,0.35294117647058826,0.5660941241753703,1.3063517409505465,0.37133972472145677,1.1886423433986064,0.537102904940079,0.15873617211378122,0.3272058823529412,272,6.5,7.6,7.2,5.9,6.1,6.5,7.9,5.7,19.6,3.0,2.2,11.0
size7_comp0.4_grid3_base_random,7,0.4,3,random,base,base,5,4,9,3,3,1,1,1,10,1,1,5,0.1,0.1,0.5,0.1,20.4,0.36764705882352944,0.36787564766839376,0.36363636363636365,0.036,1.407903403593588,0.35,0.4011136775852506,1.4937726580595558,0.456677620125594,0.7177376486136672,0.28969537192659656,0.20410057048214947,0.36764705882352944,204,5.5,4.9,5.5,4.5,5.9,4.5,4.6,4.4,13.1,2.3,0.0,6.6
size7_comp0.4_grid4_base_random,7,0.4,4,random,base,base,3,7,10,4,3,1,1,1,10,2,0,5,0.2,0.0,0.5,0.0,24.0,0.2875,0.27807486631016043,0.32075471698113206,0.0,1.6826395298523302,0.3888888888888889,0.4580729943932298,1.7758367538186743,0.5394414228844188,1.173030220798869,0.6125355376893716,0.05396286039668395,0.2875,240,6.8,5.5,5.9,5.8,6.9,5.9,5.0,5.2,17.4,3.3,0.9,8.1
size7_comp0.4_grid5_base_random,7,0.4,5,random,base,base,3,4,7,3,3,1,1,1,10,1,0,5,0.1,0.0,0.5,0.0,20.0,0.275,0.2611111111111111,0.4,0.0,1.4750814061307123,0.1875,0.43669647053021254,1.5034955632037552,0.5287379703241115,1.091829583405449,0.4490224995673063,0.15026880301940598,0.275,200,4.7,4.5,5.4,5.4,4.9,4.8,4.7,4.6,14.3,2.8,0.7,7.8
size7_comp0.4_grid6_base_random,7,0.4,6,random,base,base,6,5,11,3,4,1,1,1,10,1,0,7,0.1,0.0,0.7,0.0,19.1,0.35602094240837695,0.37142857142857144,0.1875,0.0,1.6359923415210331,0.2857142857142857,0.47969822681431135,1.6303368982008195,0.5812764743055251,0.7836591668108979,0.6554827589490483,0.26345989432455597,0.35602094240837695,191,4.6,5.2,4.6,4.7,5.9,4.4,3.1,4.7,13.2,3.0,0.6,6.9
size7_comp0.4_grid7_base_random,7,0.4,7,random,base,base,4,3,7,5,1,1,1,1,10,4,1,1,0.4,0.1,0.1,0.1,29.4,0.36054421768707484,0.36099585062240663,0.3584905660377358,0.029166666666666667,1.6715602617312029,0.2792481250360578,0.4481950168882081,1.4957710745273787,0.42282602452787255,1.32166430806966,0.5731872199548065,0.2485085184783702,0.36054421768707484,294,7.7,7.9,7.2,6.6,6.8,7.0,7.4,7.2,20.7,3.9,0.9,10.0
size7_comp0.4_grid8_base_random,7,0.4,8,random,base,base,5,4,9,5,3,1,1,1,10,0,0,5,0.0,0.0,0.5,0.0,27.1,0.3247232472324723,0.3247232472324723,0.0,0.0,1.6924294284510097,0.3274973214800826,0.4429861977440355,1.6924294284510097,0.5150171797976667,0.0,0.0,0.40705071753750066,0.3247232472324723,271,7.5,6.9,5.8,6.9,6.6,7.7,5.8,6.0,20.3,3.5,0.0,9.7
size7_comp0.4_grid9_base_random,7,0.4,9,random,base,base,4,3,7,5,1,1,1,1,10,2,0,1,0.2,0.0,0.1,0.0,31.8,0.3238993710691824,0.3118279569892473,0.41025641025641024,0.0,1.6165201642312492,0.3333333333333333,0.5338737036277458,1.6050893708400042,0.5566655437869757,1.049345575520552,0.5970807654783706,0.2133832325587024,0.3238993710691824,318,7.7,9.1,6.9,8.1,7.8,7.1,7.0,8.9,25.5,5.7,1.8,12.1
size7_comp0.6_grid0_base_random,7,0.6,0,random,base,base,4,3,7,5,2,1,1,1,10,2,2,2,0.2,0.2,0.2,0.2,27.1,0.30996309963099633,0.2891566265060241,0.5454545454545454,0.08043478260869566,1.6401714177494715,0.23529411764705882,0.4600019312387224,1.6279672368853335,0.5464737196091302,0.741829583405449,0.2796060067612173,0.17347899678341033,0.30996309963099633,271,5.8,6.9,8.1,6.3,6.4,6.4,7.0,6.3,19.4,4.2,0.4,10.3
size7_comp0.6_grid1_base_random,7,0.6,1,random,base,base,8,4,12,4,4,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,26.0,0.2653846153846154,0.2653846153846154,0.0,0.0,1.6846425187687053,0.0,0.5089956431305793,1.6846425187687053,0.5655193854542307,0.0,0.0,0.1810314685314685,0.2653846153846154,260,6.6,6.7,7.3,5.4,5.9,6.5,6.0,6.6,21.5,3.4,0.0,14.3
size7_comp0.6_grid2_base_random,7,0.6,2,random,base,base,8,3,11,5,3,1,1,1,10,0,0,2,0.0,0.0,0.2,0.0,29.3,0.30716723549488056,0.30716723549488056,0.0,0.0,1.5005274030897557,0.14285714285714285,0.4371248912121003,1.5005274030897557,0.5367314181418401,0.0,0.0,0.29650314671323075,0.30716723549488056,293,7.5,7.4,7.5,6.9,7.5,6.7,7.6,6.5,23.8,3.7,0.0,13.9
size7_comp0.6_grid3_base_random,7,0.6,3,random,base,base,4,5,9,5,2,1,1,1,10,2,0,2,0.2,0.0,0.2,0.0,28.7,0.28222996515679444,0.27205882352941174,0.4666666666666667,0.0,1.557827198546621,0.2222222222222222,0.4724777857363247,1.7000170683111189,0.5511464009767322,1.0509775004326936,0.5352719803706949,0.20836714483773305,0.28222996515679444,287,6.9,7.3,6.9,7.6,6.1,7.0,7.5,7.1,22.0,4.1,0.3,12.4
size7_comp0.6_grid4_base_random,7,0.6,4,random,base,base,3,3,6,4,2,1,1,1,10,3,2,3,0.3,0.2,0.3,0.2,28.9,0.2906574394463668,0.26744186046511625,0.4838709677419355,0.05464895635673624,1.692570399789777,0.21052631578947367,0.47215846586843513,1.6174736242478647,0.50560125091333,0.9855420175009815,0.41580164073899023,0.17271626824747244,0.2906574394463668,289,7.3,8.1,6.2,7.3,7.2,6.8,6.1,7.8,21.6,4.0,0.9,13.0
size7_comp0.6_grid5_base_random,7,0.6,5,random,base,base,6,7,13,3,5,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,28.3,0.3710247349823322,0.3710247349823322,0.0,0.0,1.6769816578118575,0.4,0.5148119820576952,1.6769816578118575,0.5027363287150723,0.0,0.0,0.22190973044409232,0.3710247349823322,283,7.0,7.6,6.6,7.1,6.8,6.8,7.1,6.6,20.7,4.7,0.0,7.7
