trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
9,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,14,5,1,21,0.5238095238095238,0.8095238095238095,1.0,0.7333333333333333,0.0,7,5,2,7,9,3,6,2,3,2,1,0,0.0
0,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,14,20,1,33,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.0,5,11,7,10,13,8,7,4,9,4,1,0,0.0
1,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,12,24,1,35,0.3142857142857143,0.6571428571428571,0.7692307692307693,0.5909090909090909,0.0,6,12,7,10,13,6,9,6,11,6,4,0,0.0
2,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,10,18,1,27,0.4074074074074074,0.7037037037037037,0.8181818181818182,0.625,0.0,4,10,5,8,13,7,2,4,9,4,2,0,0.0
3,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,10,16,1,25,0.44,0.72,0.8181818181818182,0.6428571428571429,0.0,2,8,6,9,15,3,4,2,6,2,1,0,0.0
4,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,10,22,1,33,0.3333333333333333,0.6666666666666666,0.8181818181818182,0.5909090909090909,0.0,2,8,10,13,16,2,5,9,13,9,1,0,0.0
5,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,8,18,1,29,0.3793103448275862,0.6896551724137931,0.8888888888888888,0.6,0.0,5,11,5,8,8,7,8,5,10,5,3,0,0.0
6,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,6,12,1,21,0.5238095238095238,0.7619047619047619,1.0,0.6428571428571429,0.0,2,8,4,7,14,2,3,1,3,1,1,0,0.0
7,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,6,12,1,21,0.5238095238095238,0.7619047619047619,1.0,0.6428571428571429,0.0,2,8,4,7,14,2,3,1,5,1,1,0,0.0
8,3,collect_one_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_one,7,9,6,6,4,8,11,1,1,1,1,1,1,2,1,1,8,18,1,29,0.3793103448275862,0.6896551724137931,0.8888888888888888,0.6,0.0,4,10,6,9,10,5,6,7,10,7,2,0,0.0
